,accX,accY,accZ,accResultant,gyrX,gyrY,gyrZ,isFall
0,0.03,-0.15,1.02,1.03,-0.81,1.31,0.59,1.0
1,0.03,-0.11,1.05,1.05,-8.86,-1.79,-4.42,1.0
2,-0.09,-0.06,1.0,1.01,-10.79,-4.2,-17.66,1.0
3,-0.07,-0.02,1.07,1.08,5.47,-4.94,-27.36,1.0
4,-0.03,-0.01,1.03,1.03,16.98,5.37,-19.44,1.0
5,-0.01,-0.0,0.96,0.96,4.73,19.46,-8.93,1.0
6,-0.02,-0.08,0.93,0.93,7.01,16.58,-1.32,1.0
7,0.06,-0.1,0.91,0.91,-5.67,15.12,9.96,1.0
8,0.07,-0.13,0.92,0.94,16.85,26.77,23.31,1.0
9,0.06,-0.13,0.93,0.94,1.01,23.6,23.31,1.0
10,0.09,-0.05,0.85,0.86,3.33,2.28,23.1,1.0
11,-0.1,-0.11,0.93,0.94,9.22,0.02,13.17,1.0
12,-0.0,-0.13,0.85,0.86,7.84,13.85,7.9,1.0
13,0.02,-0.07,0.83,0.84,1.96,-0.37,3.65,1.0
14,0.05,-0.06,0.88,0.89,-24.19,-6.91,-9.81,1.0
15,0.17,-0.04,0.97,0.98,-30.91,-6.76,-2.23,1.0
16,-0.02,-0.06,0.86,0.86,-15.96,-9.34,8.32,1.0
17,-0.02,-0.06,0.85,0.85,-5.11,-8.45,4.55,1.0
18,0.16,-0.12,0.79,0.82,-31.1,-19.07,-11.16,1.0
19,0.12,-0.12,0.82,0.84,-50.5,-23.65,18.74,1.0
20,-0.03,-0.0,0.91,0.91,-72.69,-33.22,20.43,1.0
21,0.25,0.11,0.86,0.9,-96.17,-70.37,39.14,1.0
22,-0.34,0.11,0.9,0.97,32.09,98.97,31.93,1.0
23,0.13,-0.02,0.85,0.86,-70.33,39.22,-45.2,1.0
24,0.46,-0.1,0.78,0.91,-162.3,42.08,-56.37,1.0
25,0.67,-0.16,0.75,1.02,-219.72,16.15,-33.76,1.0
26,0.12,0.75,1.11,1.34,247.94,204.01,0.89,1.0
27,1.07,-1.07,0.53,1.6,80.36,168.31,-240.9,7.0
28,1.23,-1.82,-0.94,2.39,-129.29,139.93,-83.37,7.0
29,1.02,0.99,0.81,1.63,233.68,66.38,200.4,7.0
30,0.86,0.28,0.08,0.91,-36.97,0.76,-69.03,7.0
31,0.9,0.1,-0.0,0.9,-0.16,2.76,-5.81,7.0
32,0.88,0.14,-0.02,0.89,-0.59,0.81,-0.99,7.0
33,0.87,0.22,-0.0,0.9,0.32,0.04,15.72,7.0
34,0.88,0.12,0.0,0.89,-1.83,-1.33,1.33,7.0
35,0.88,0.13,0.0,0.88,-0.86,-0.17,-0.28,7.0
36,0.89,0.12,0.01,0.89,6.36,5.73,-1.6,7.0
37,0.88,0.12,0.0,0.89,0.03,0.32,-0.74,7.0
38,0.88,0.12,0.0,0.89,-0.14,0.21,-0.67,7.0
39,0.88,0.12,0.0,0.89,-0.17,0.17,-0.7,7.0
40,0.88,0.12,0.0,0.89,-0.15,0.2,-0.73,5.0
41,0.88,0.12,0.0,0.89,-0.12,0.21,-0.68,5.0
42,0.88,0.12,0.0,0.89,-0.13,0.18,-0.72,5.0
43,0.88,0.12,0.0,0.89,-0.13,0.19,-0.73,5.0
44,0.88,0.12,0.0,0.89,-0.11,0.18,-0.25,5.0
45,0.88,0.12,0.0,0.89,-0.19,0.17,-0.73,5.0
46,0.88,0.12,0.0,0.89,-0.2,0.14,-0.98,5.0
47,0.88,0.13,0.01,0.89,-1.78,-1.29,0.26,5.0
48,0.85,0.16,0.0,0.87,0.42,0.14,13.22,5.0
49,0.89,0.11,0.02,0.9,6.45,5.82,-0.93,6.0
50,0.88,0.12,0.0,0.89,0.06,0.39,-0.71,6.0
51,0.88,0.12,0.0,0.89,-0.14,0.21,-0.71,6.0
52,0.88,0.12,0.0,0.89,-0.1,0.14,-0.72,6.0
53,0.88,0.12,0.0,0.89,0.04,-0.18,-0.66,6.0
54,0.88,0.12,-0.0,0.89,0.23,-0.94,-0.61,6.0
55,0.9,0.05,-0.05,0.91,-1.19,-3.56,0.83,6.0
56,0.83,0.1,-0.13,0.85,2.2,-15.75,19.43,6.0
57,0.81,0.16,-0.16,0.84,-1.26,-45.06,14.26,6.0
58,0.75,0.19,-0.12,0.78,-8.6,-72.88,6.98,6.0
59,0.63,0.13,0.04,0.65,-9.48,-87.39,1.2,6.0
60,0.5,0.17,0.18,0.56,-9.88,-94.18,3.41,6.0
61,0.47,0.18,0.37,0.62,-10.43,-90.58,1.92,6.0
62,0.13,0.17,0.52,0.56,-12.58,-82.43,-71.41,6.0
63,0.37,0.02,0.7,0.79,32.19,-86.98,-51.63,6.0
64,-0.03,0.14,0.92,0.93,4.12,-53.71,13.15,6.0
65,0.02,0.05,0.92,0.93,3.37,-31.68,0.2,6.0
66,0.01,0.08,0.9,0.9,1.13,-13.26,-2.89,6.0
