,accX,accY,accZ,accResultant,gyrX,gyrY,gyrZ,isFall
0,-0.03,0.04,1.08,1.09,-14.96,-2.91,-13.61,1.0
1,-0.02,0.03,1.1,1.1,-21.84,-7.23,-10.17,1.0
2,-0.02,0.03,1.1,1.1,-23.29,-9.78,-6.98,1.0
3,-0.03,0.02,1.1,1.11,-18.69,-12.22,-0.4,1.0
4,-0.13,-0.01,1.12,1.13,-12.14,-14.72,4.77,1.0
5,-0.04,-0.05,1.23,1.24,0.25,1.9,14.39,1.0
6,0.1,-0.07,1.19,1.19,4.03,32.3,27.22,1.0
7,0.06,0.03,1.13,1.13,-16.9,15.93,27.3,1.0
8,0.06,0.08,1.19,1.19,-15.86,3.37,3.82,1.0
9,-0.04,0.07,1.2,1.2,1.69,2.62,-8.97,1.0
10,-0.01,0.07,1.18,1.19,15.3,8.16,-11.84,1.0
11,0.02,0.06,1.16,1.16,30.45,5.83,-8.24,1.0
12,-0.0,0.07,1.13,1.14,38.43,-1.07,-3.35,1.0
13,0.01,0.06,1.12,1.12,35.26,-11.09,1.84,1.0
14,0.02,0.05,1.13,1.13,26.69,-13.4,4.38,1.0
15,0.02,0.07,1.14,1.15,19.17,-1.74,1.22,1.0
16,-0.04,0.05,1.11,1.11,15.19,10.02,-7.5,1.0
17,-0.01,0.05,1.06,1.06,10.31,5.43,-5.99,1.0
18,0.06,0.05,1.08,1.08,2.84,-0.47,-2.71,1.0
19,0.03,0.05,1.09,1.1,1.76,0.94,2.0,1.0
20,-0.01,0.06,1.11,1.11,0.41,2.79,1.75,1.0
21,-0.03,0.08,1.1,1.1,0.34,4.48,-4.15,1.0
22,-0.11,0.01,1.08,1.08,-0.35,-2.53,-10.34,1.0
23,-0.08,0.03,1.13,1.14,-2.35,-9.09,1.52,1.0
24,0.04,0.06,1.13,1.13,-3.82,-2.69,0.85,1.0
25,0.03,0.05,1.12,1.12,-1.41,-0.82,1.12,1.0
26,0.05,0.06,1.12,1.12,0.67,-0.69,-1.25,1.0
27,-0.04,0.06,1.11,1.12,-1.19,-1.05,-3.42,1.0
28,-0.14,0.02,1.12,1.13,-4.66,1.08,-0.98,1.0
29,-0.01,0.02,1.11,1.11,-5.74,2.14,0.18,1.0
30,0.1,0.03,1.08,1.09,-3.79,-1.72,3.77,1.0
31,0.05,0.06,1.1,1.1,0.43,-6.2,2.83,1.0
32,-0.08,0.04,1.15,1.15,6.21,4.92,-1.38,1.0
33,-0.1,-0.01,1.11,1.11,14.24,8.64,2.45,1.0
34,0.03,0.03,1.09,1.09,19.87,-1.43,9.12,1.0
35,0.13,0.05,1.12,1.12,15.84,-1.36,8.88,1.0
36,0.08,0.07,1.11,1.11,9.39,6.66,6.6,1.0
37,0.03,0.08,1.1,1.1,2.1,8.48,-4.82,1.0
38,-0.17,0.01,1.11,1.13,-3.26,1.09,-3.17,1.0
39,-0.01,0.07,1.12,1.12,-7.01,-0.67,-6.16,1.0
40,0.08,0.05,1.1,1.1,-11.35,5.68,-5.66,1.0
41,0.07,0.04,1.08,1.08,-13.62,1.54,-0.09,1.0
42,0.02,0.05,1.09,1.09,-11.71,-8.15,2.13,1.0
